id,longitude,latitude,seg_bits,scale_id,scale,cap_2020,cap_2025,cap_2030,cap_2035,cap_2040,build_cost_usd,op_cost_usd_for_total_duration,is_active_solve
4075,-93.1858167406,45.0669671097,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
4076,-93.2858427344,45.069469074,000,0,NONE,0,0,0,0,0,0,0.0,1
4077,-89.6423881181,45.0773617626,000,0,NONE,0,0,0,0,0,0,0.0,0
4078,-93.4017267103,45.0823120826,000,0,NONE,0,0,0,0,0,0,0.0,1
4079,-122.943069166,45.0899687073,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
4080,-93.4479147458,45.0916091112,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4081,-84.6704127136,45.1462393462,000,0,NONE,0,0,0,0,0,0,0.0,0
4082,-91.5320682248,45.1748967603,000,0,NONE,0,0,0,0,0,0,0.0,0
4083,-89.6604177202,45.2051080734,000,0,NONE,0,0,0,0,0,0,0.0,0
4084,-112.65596015,45.2059802773,000,0,NONE,0,0,0,0,0,0,0.0,1
4085,-93.0289467289,45.2184190937,000,0,NONE,0,0,0,0,0,0,0.0,0
4086,-118.011840829,45.2283525158,000,0,NONE,0,0,0,0,0,0,0.0,1
4087,-93.734587583,45.2745794981,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
4088,-122.769986731,45.27916911,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4089,-122.769392727,45.2845690964,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
4090,-68.6644287844,45.2923980446,000,0,NONE,0,0,0,0,0,0,0.0,0
4091,-107.344679726,45.3097871019,000,0,NONE,0,0,0,0,0,0,0.0,0
4092,-118.227290737,45.3430060942,000,0,NONE,0,0,0,0,0,0,0.0,1
4093,-122.758205737,45.3688451022,000,0,NONE,0,0,0,0,0,0,0.0,1
4094,-122.593337541,45.3698547594,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
4095,-91.7578587167,45.3953411091,000,0,NONE,0,0,0,0,0,0,0.0,0
4096,-84.6070077259,45.3971050789,000,0,NONE,0,0,0,0,0,0,0.0,0
4097,-97.0245221994,45.3986931405,000,0,NONE,0,0,0,0,0,0,0.0,1
4098,-94.0532367121,45.4099930851,000,0,NONE,0,0,0,0,0,0,0.0,1
4099,-122.744363709,45.4211980739,000,0,NONE,0,0,0,0,0,0,0.0,1
4100,-92.996023422,45.4633656407,000,0,NONE,0,0,0,0,0,0,0.0,0
4101,-112.714565168,45.4806607728,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
