id,longitude,latitude,seg_bits,scale_id,scale,cap_2020,cap_2025,cap_2030,cap_2035,cap_2040,build_cost_usd,op_cost_usd_for_total_duration,is_active_solve
3856,-72.3383427098,43.6399541088,000,0,NONE,0,0,0,0,0,0,0.0,0
3857,-89.469698716,43.6425911063,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
3858,-94.8929989631,43.652275284,000,0,NONE,0,0,0,0,0,0,0.0,1
3859,-84.2206902264,43.6556470384,000,0,NONE,0,0,0,0,0,0,0.0,1
3860,-94.0714066012,43.6546479932,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3861,-93.6933130223,43.6596238791,000,0,NONE,0,0,0,0,0,0,0.0,1
3862,-97.1515754198,43.6665824545,000,0,NONE,0,0,0,0,0,0,0.0,1
3863,-97.549516324,43.6647174234,100,1,S,131394,131035,131035,131035,131394,850000,125136.98630136986,1
3864,-94.4476347228,43.6789421054,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3865,-93.3211317187,43.6838110844,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3866,-92.9742731268,43.6805122902,000,0,NONE,0,0,0,0,0,0,0.0,1
3867,-97.9412367427,43.6950701117,000,0,NONE,0,0,0,0,0,0,0.0,1
3868,-86.3923459392,43.6959620332,000,0,NONE,0,0,0,0,0,0,0.0,0
3869,-98.4140281588,43.6949926972,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
3870,-88.442330411,43.6972371001,000,0,NONE,0,0,0,0,0,0,0.0,1
3871,-70.3045857076,43.7215300791,001,3,L,696864,694960,694960,694960,696864,3200000,450493.15068493155,1
3872,-73.8233371966,43.7258844733,000,0,NONE,0,0,0,0,0,0,0.0,0
3873,-70.2322887253,43.7314661084,000,0,NONE,0,0,0,0,0,0,0.0,0
3874,-84.5006763029,43.7343821916,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3875,-98.8796310968,43.738112253,000,0,NONE,0,0,0,0,0,0,0.0,1
3876,-71.6596195692,43.7382659156,000,0,NONE,0,0,0,0,0,0,0.0,0
3877,-92.6475357281,43.7563209991,000,0,NONE,0,0,0,0,0,0,0.0,1
3878,-72.2305831031,43.7613819834,000,0,NONE,0,0,0,0,0,0,0.0,0
3879,-76.0534550126,43.7613914317,000,0,NONE,0,0,0,0,0,0,0.0,0
3880,-123.073752077,43.7649022123,000,0,NONE,0,0,0,0,0,0,0.0,1
3881,-99.3392519928,43.7918007872,010,2,M,345870,344925,344925,344925,345870,1750000,250273.97260273973,1
3882,-84.7584687094,43.7998840898,000,0,NONE,0,0,0,0,0,0,0.0,1
